Person,Movement,Organization
Angela Davis,Black Power Movement,"Communist Party, Black Panther Party"
Angela Davis,Feminism,"Communist Party, Black Panther Party"
Fania Davis,Black Power Movement,Black Panther Party
Abbie Hoffman,Student Movement,The Yippies
Kevin B. Anderson,Marxist Humanism,International Marxist-Humanist Organization
Ronald Aronson,Democratic Socialism,"New American Movement, Columbia Freedom School"
Ronald Aronson,Student Movement,"New American Movement, Columbia Freedom School"
Doug Ireland,Gay Liberation,Gay Liberation Front
Doug Ireland,Student Movement,Students for a Democratic Society
Jeff Weinstein,Gay Liberation,Radical Coalition
Jeff Weinstein,Student Movement,Radical Coalition
Lowell Bergman,Alternative Press,San Diego Free Press
Dennis Altman,Gay Liberation,
Martin Duberman ,Gay Liberation,National Lesbian and Gay Task Force
Seyla Benhabib,Feminism,Committee on the Status of Women at Brown
Norman Birnbaum,Democratic Socialism,Democratic Socialist Organizing Committee
Norman Birnbaum,Alternative Press,Democratic Socialist Organizing Committee
Carlos Blanco-Aguinaga,Chicano Movement,MAYA
Mike Davis,Student Movement,Students for a Democratic Society
Mike Davis,Prison Abolition,Radical Education Project
Ariel Dorfman,Anti-imperialism,Chilean Socialist Party
Andrew Feenberg,Student Movement,New American Movement
Andrew Feenberg,Democratic Socialism,New American Movement
Galia Golan,Jewish Left,Peace Now
David Ingram,Student Movement,Unknown
Russell Jacoby,Democratic Socialism,Unknown
George Katasfiacas ,Student Movement,Students for a Democratic Society
Douglas Kellner,Alternative Press,Alternative Views
David Kettler,Civil Rights,Congress on Racial Equality
Lauren Langman,Civil Rights,Unknown
Lauren Langman,Student Movement,Unknown
Michael Lerner,Student Movement,"Students for a Democratic Society, Tikkun, New American Movement"
Michael Lerner,Jewish Left,"Students for a Democratic Society, Tikkun, New American Movement"
Jerald Moldenhauer,Gay Liberation,Unknown
Paul Mattick,Council Communism,Group of Council Communists
George E McCarthy,Student Movement,Unknown
Myriam Malinovich Miedzian,Feminism,Unknown
Erica Sherover-Marcuse,Civil Rights,Unlearning Racism
Erica Sherover-Marcuse,Jewish Left,Unlearning Racism
Susan Sontag,Student Movement,Unknown
Susan Sontag,Feminism,Unknown
Stanley Aronowitz,Democratic Socialism,New American Movement
Stanley Aronowitz,Civil Rights,Student Nonviolent Coordinating Committee
Stanley Diamond,Student Movement,Dialectical Anthropology
Maurice L Stein,Student Movement,Brandeis Sociology Department
Howard Zinn,Civil Rights,"Student Nonviolent Coordinating Committee, Students for a Democratic Society"
Howard Zinn,Student Movement,
Michael Selzer,Jewish Left,American Council for Judaism
Todd Gitlin,Student Movement,"Students for a Democratic Society, San Francisco Express Times"
Todd Gitlin,Alternative Press,"Students for a Democratic Society, San Francisco Express Times"
Russell Jacoby,Student Movement,Foul Play
Shierry M. Weber,Feminism,Unknown
Paul Breines,Civil Rights,Student Council on CIvil Rights
Paul Breines,Student Movement, Students for a Democratic Society
Jeremy J Shapiro,Student Movement,Unknown
Kate Millet,Feminism,"New York Radical Women, Radical Lesbians"
Wini Breines,Feminism,"Bread and Roses, Students for a Democratic Society"
Wini Breines,Student Movement,"Bread and Roses, Students for a Democratic Society"
Raya Dunayevskaya,Feminism,"Socialist Workers Party, News and Letters Committees"
Raya Dunayevskaya,Marxist Humanism,"Socialist Workers Party, News and Letters Committees"
David Wellman,Student Movement,"Students for a Democratic Society, Radical Education Project"
David Gilbert,Student Movement,"Students for a Democratic Society, The Weather Underground"
Allen Graubard,Civil Rights,"Student Nonviolent Coordinating Committee, Free School Movement"
Paul Booth,Student Movement,Students for a Democratic Society
Dick Howard,Student Movement,Unknown
Dick Howard,Civil Rights,Unknown
Robert Gottlieb,Alternative Press,Midnight Special in Venice Bookstore Cooperative
Gerry Tenney,Student Movement,Students for a Democratic Society
Dennis Altman,Gay Liberation,Unknown
Carl Wittman,Gay Liberation,Red Butterfly Collective
Noam Chomsky,Student Movement,RESIST